Airline	Date_of_Journey	Source	Destination	Route	Dep_Time	Arrival_Time	Duration	Total_Stops	Additional_Info	Price
Air India	12/06/2019	Delhi	Cochin	DEL → BOM → COK	09:00	19:15	10h 15m	1 stop	No info	8372
Jet Airways	18/03/2019	Mumbai	Hyderabad	BOM → HYD	07:10	08:35	1h 25m	non-stop	In-flight meal not included	4995
Multiple carriers	9/05/2019	Delhi	Cochin	DEL → BOM → COK	10:00	19:15	9h 15m	1 stop	No info	14323
Jet Airways	9/06/2019	Delhi	Cochin	DEL → JAI → BOM → COK	05:30	04:25 10 Jun	22h 55m	2 stops	No info	13014
Air India	6/06/2019	Delhi	Cochin	DEL → CCU → BOM → COK	14:25	19:15 07 Jun	28h 50m	2 stops	No info	13591
Jet Airways	3/03/2019	Delhi	Cochin	DEL → IDR → BOM → COK	05:25	18:50 04 Mar	37h 25m	2 stops	No info	18799
IndiGo	27/04/2019	Banglore	Delhi	BLR → DEL	23:30	02:20 28 Apr	2h 50m	non-stop	No info	3943
SpiceJet	21/05/2019	Mumbai	Hyderabad	BOM → HYD	05:45	07:15	1h 30m	non-stop	No check-in baggage included	1965
Jet Airways	27/05/2019	Mumbai	Hyderabad	BOM → HYD	10:20	11:50	1h 30m	non-stop	In-flight meal not included	4995
Air India	24/03/2019	Kolkata	Banglore	CCU → BOM → BLR	16:50	18:30 25 Mar	25h 40m	1 stop	No info	14641
Air India	12/04/2019	Kolkata	Banglore	CCU → BLR	20:45	23:20	2h 35m	non-stop	No info	4460
Air India	18/05/2019	Delhi	Cochin	DEL → BOM → COK	13:00	19:15	6h 15m	1 stop	No info	10191
Jet Airways	9/03/2019	Delhi	Cochin	DEL → BOM → COK	02:15	19:45	17h 30m	1 stop	In-flight meal not included	13843
IndiGo	1/05/2019	Delhi	Cochin	DEL → LKO → COK	21:50	03:35 02 May	5h 45m	1 stop	No info	6349
Air Asia	1/05/2019	Kolkata	Banglore	CCU → BLR	10:20	12:55	2h 35m	non-stop	No info	4409
Jet Airways	6/03/2019	Delhi	Cochin	DEL → BOM → COK	18:15	19:45 07 Mar	25h 30m	1 stop	No info	17024
Multiple carriers	18/05/2019	Delhi	Cochin	DEL → BOM → COK	07:05	21:00	13h 55m	1 stop	No info	13727
IndiGo	15/03/2019	Banglore	New Delhi	BLR → DEL	18:25	21:20	2h 55m	non-stop	No info	8855
Multiple carriers	24/06/2019	Delhi	Cochin	DEL → BOM → COK	08:45	19:00	10h 15m	1 stop	No info	12524
Jet Airways	18/03/2019	Banglore	New Delhi	BLR → BOM → DEL	11:40	20:20	8h 40m	1 stop	No info	13555
Jet Airways	6/06/2019	Kolkata	Banglore	CCU → BOM → BLR	06:30	12:00	5h 30m	1 stop	In-flight meal not included	10844
Multiple carriers	9/06/2019	Delhi	Cochin	DEL → BOM → COK	09:00	21:00	12h	1 stop	No info	13587
SpiceJet	12/06/2019	Chennai	Kolkata	MAA → CCU	09:45	12:00	2h 15m	non-stop	No check-in baggage included	3543
Vistara	18/03/2019	Chennai	Kolkata	MAA → CCU	07:05	09:20	2h 15m	non-stop	No info	4842
IndiGo	24/04/2019	Banglore	Delhi	BLR → DEL	23:30	02:20 25 Apr	2h 50m	non-stop	No info	3943
Jet Airways	9/06/2019	Delhi	Cochin	DEL → BOM → COK	19:15	04:25 10 Jun	9h 10m	1 stop	In-flight meal not included	10577
IndiGo	15/05/2019	Delhi	Cochin	DEL → BOM → COK	10:35	21:00	10h 25m	1 stop	No info	6979
Vistara	27/06/2019	Chennai	Kolkata	MAA → CCU	17:45	20:05	2h 20m	non-stop	No info	11982
SpiceJet	6/06/2019	Delhi	Cochin	DEL → PNQ → COK	08:45	13:15	4h 30m	1 stop	No info	5264
Vistara	3/03/2019	Delhi	Cochin	DEL → COK	06:00	09:10	3h 10m	non-stop	No info	8001
Air India	1/06/2019	Delhi	Cochin	DEL → AMD → BOM → COK	19:45	19:15 02 Jun	23h 30m	2 stops	No info	10651
Jet Airways	24/05/2019	Kolkata	Banglore	CCU → BOM → BLR	16:30	19:50 25 May	27h 20m	1 stop	In-flight meal not included	10844
Multiple carriers	27/03/2019	Delhi	Cochin	DEL → HYD → COK	09:45	22:20	12h 35m	1 stop	No info	6601
Air India	21/03/2019	Delhi	Cochin	DEL → BOM → COK	19:00	19:15 22 Mar	24h 15m	1 stop	No info	6587
SpiceJet	21/03/2019	Mumbai	Hyderabad	BOM → HYD	13:10	14:30	1h 20m	non-stop	No info	3173
Air India	9/05/2019	Banglore	Delhi	BLR → DEL	10:00	12:45	2h 45m	non-stop	No info	5228
Jet Airways	21/06/2019	Banglore	Delhi	BLR → DEL	07:10	10:10	3h	non-stop	In-flight meal not included	5769
Jet Airways	6/06/2019	Delhi	Cochin	DEL → BOM → COK	08:00	19:00	11h	1 stop	No info	14714
Jet Airways	3/06/2019	Delhi	Cochin	DEL → JAI → BOM → COK	05:30	19:00	13h 30m	2 stops	No info	13014
IndiGo	3/06/2019	Banglore	Delhi	BLR → DEL	22:10	01:00 04 Jun	2h 50m	non-stop	No info	3359
GoAir	03/03/2019	Banglore	New Delhi	BLR → DEL	20:55	23:50	2h 55m	non-stop	No info	6722
IndiGo	18/03/2019	Kolkata	Banglore	CCU → BLR	09:35	12:20	2h 45m	non-stop	No info	4462
IndiGo	9/03/2019	Delhi	Cochin	DEL → HYD → COK	04:55	16:10	11h 15m	1 stop	No info	6171
Air India	21/05/2019	Kolkata	Banglore	CCU → IXR → DEL → BLR	05:50	20:25	14h 35m	2 stops	No info	12303
Multiple carriers	21/03/2019	Delhi	Cochin	DEL → BOM → COK	11:40	01:35 22 Mar	13h 55m	1 stop	No info	7695
IndiGo	24/06/2019	Delhi	Cochin	DEL → BOM → COK	11:25	01:30 25 Jun	14h 5m	1 stop	No info	5684
Air India	12/06/2019	Kolkata	Banglore	CCU → BOM → BLR	16:50	07:55 13 Jun	15h 5m	1 stop	No info	8366
Air India	1/03/2019	Chennai	Kolkata	MAA → CCU	11:40	13:55	2h 15m	non-stop	No info	19630
Jet Airways	06/03/2019	Banglore	New Delhi	BLR → BOM → DEL	14:05	05:05 07 Mar	15h	1 stop	In-flight meal not included	13502
Jet Airways	1/05/2019	Kolkata	Banglore	CCU → BOM → BLR	21:10	10:05 02 May	12h 55m	1 stop	No info	14781
Multiple carriers	12/06/2019	Delhi	Cochin	DEL → HYD → COK	07:10	16:10	9h	1 stop	No info	6513
Air India	1/06/2019	Delhi	Cochin	DEL → BOM → COK	07:00	19:15	12h 15m	1 stop	No info	9929
Multiple carriers	6/06/2019	Delhi	Cochin	DEL → IXU → BOM → COK	17:50	01:30 07 Jun	7h 40m	2 stops	No info	18275
Air India	9/04/2019	Delhi	Cochin	DEL → MAA → COK	06:05	09:25 10 Apr	27h 20m	1 stop	No info	4487
IndiGo	15/03/2019	Mumbai	Hyderabad	BOM → HYD	21:20	22:45	1h 25m	non-stop	No info	2754
Air India	27/03/2019	Mumbai	Hyderabad	BOM → HYD	06:20	07:40	1h 20m	non-stop	No info	2575
SpiceJet	12/06/2019	Kolkata	Banglore	CCU → IXB → BLR	15:55	21:25	5h 30m	1 stop	No info	8224
Air India	9/03/2019	Delhi	Cochin	DEL → BLR → COK	20:30	08:15 10 Mar	11h 45m	1 stop	No info	8991
IndiGo	24/06/2019	Delhi	Cochin	DEL → COK	05:35	08:50	3h 15m	non-stop	No info	5000
Jet Airways	12/06/2019	Kolkata	Banglore	CCU → BOM → BLR	18:55	19:50 13 Jun	24h 55m	1 stop	In-flight meal not included	8529
Air India	3/03/2019	Delhi	Cochin	DEL → MAA → COK	06:05	09:25 04 Mar	27h 20m	1 stop	No info	14042
Jet Airways	24/05/2019	Banglore	Delhi	BLR → DEL	11:10	14:05	2h 55m	non-stop	In-flight meal not included	4030
Jet Airways	6/06/2019	Kolkata	Banglore	CCU → BOM → BLR	18:55	12:00 07 Jun	17h 5m	1 stop	In-flight meal not included	10844
IndiGo	6/05/2019	Kolkata	Banglore	CCU → BLR	21:25	00:05 07 May	2h 40m	non-stop	No info	4804
Multiple carriers	27/05/2019	Delhi	Cochin	DEL → BOM → COK	17:30	01:30 28 May	8h	1 stop	In-flight meal not included	7308
IndiGo	12/05/2019	Banglore	Delhi	BLR → DEL	16:55	19:55	3h	non-stop	No info	4823
Jet Airways	24/06/2019	Delhi	Cochin	DEL → BOM → COK	09:00	12:35 25 Jun	27h 35m	1 stop	In-flight meal not included	10262
Jet Airways	27/05/2019	Delhi	Cochin	DEL → BOM → COK	20:55	04:25 28 May	7h 30m	1 stop	In-flight meal not included	12898
Air India	12/03/2019	Banglore	New Delhi	BLR → BOM → JDH → DEL	17:25	16:20 13 Mar	22h 55m	2 stops	No info	12778
IndiGo	3/03/2019	Delhi	Cochin	DEL → BOM → COK	04:45	13:20	8h 35m	1 stop	No info	14871
Air India	21/03/2019	Delhi	Cochin	DEL → UDR → BOM → COK	13:20	19:15 22 Mar	29h 55m	2 stops	No info	8708
Jet Airways	6/06/2019	Kolkata	Banglore	CCU → BOM → BLR	20:00	18:15 07 Jun	22h 15m	1 stop	In-flight meal not included	10844
SpiceJet	6/03/2019	Mumbai	Hyderabad	BOM → HYD	05:45	07:05	1h 20m	non-stop	No info	4129
IndiGo	18/05/2019	Kolkata	Banglore	CCU → BLR	21:25	00:05 19 May	2h 40m	non-stop	No info	4804
Jet Airways	6/05/2019	Banglore	Delhi	BLR → DEL	08:20	11:20	3h	non-stop	No info	7229
Jet Airways	21/03/2019	Banglore	New Delhi	BLR → BOM → DEL	07:00	19:10	12h 10m	1 stop	In-flight meal not included	7832
SpiceJet	18/03/2019	Chennai	Kolkata	MAA → CCU	09:30	12:05	2h 35m	non-stop	No info	3859
Multiple carriers	6/06/2019	Delhi	Cochin	DEL → BOM → COK	07:30	19:15	11h 45m	1 stop	No info	9001
